transaction_id,target_company,acquirer,sector,sub_sector,deal_year,deal_quarter,deal_type,geography,financing_type,deal_size_mm,target_revenue_mm,target_ebitda_mm,ebitda_margin_pct,revenue_growth_pct,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close,acquirer_type,target_ownership_pre
MA-2020-0001,Pinnacle Revenue Cycle,Phreesia,Health IT,Health IT,2020,Q4,Strategic Acquisition,Northeast,All Cash,39.7,7.6,1.9,20.0,13.4,18.3,5.2,15.1,Closed,Technology Capability|Geographic Expansion|Vertical Integration,3,157.0,Strategic,Public
MA-2024-0002,Great Medical Associates,Hellman & Friedman,Physician Groups,Physician Groups,2024,Q3,Bolt-on Acquisition,Southeast,Leveraged,298.6,216.4,18.6,15.1,13.1,13.3,1.38,13.5,Closed,Geographic Expansion|Platform Build|Diversification,5,108.0,Financial Sponsor,Public
MA-2018-0003,Select Health Data,TPG Capital,Health IT,Health IT,2018,Q1,Carve-out,Southeast,Leveraged,149.0,29.3,5.9,21.7,18.5,23.3,5.09,11.4,Closed,Technology Capability|Geographic Expansion|High Growth|Margin Improvement|Carve-out Complexity|Cost Synergies,2,404.0,Financial Sponsor,PE-Backed
MA-2023-0004,Superior EHR Solutions,Qualifacts,Health IT,Health IT,2023,Q2,Minority Investment,Northeast,Cash + Stock,125.5,21.2,4.4,18.7,19.0,19.2,5.92,8.4,Withdrawn,Technology Capability|Geographic Expansion|High Growth|Vertical Integration,3,,Strategic,Private
MA-2020-0005,Maple Private Duty,BrightSpring Health,Home Health/Hospice,Home Health/Hospice,2020,Q4,Minority Investment,Southwest,Cash + Stock,47.9,22.6,1.9,7.1,3.7,11.2,2.12,2.7,Closed,Geographic Expansion|Cost Synergies,3,350.0,Strategic,Private
MA-2016-0006,Lincoln Substance Use,Veritas Capital,Behavioral Health,Behavioral Health,2016,Q3,Minority Investment,Southeast,Stock,26.7,8.4,1.2,16.8,23.3,13.0,3.18,5.6,Closed,Geographic Expansion|High Growth|Market Share,5,136.0,Financial Sponsor,PE-Backed
MA-2022-0007,United Health Data,Hellman & Friedman,Health IT,Health IT,2022,Q1,SPAC Merger,Mid-Atlantic,Leveraged,169.0,25.9,6.1,26.3,26.2,18.4,6.53,9.4,Closed,Technology Capability|Geographic Expansion|High Growth|Margin Improvement|Market Share,2,74.0,Financial Sponsor,Private
MA-2017-0008,Harbor Physician Group,Nordic Capital,Physician Groups,Physician Groups,2017,Q4,Management Buyout,Midwest,Stock,58.9,26.5,3.9,16.3,18.5,7.6,2.22,6.9,Closed,Geographic Expansion|High Growth|Cost Synergies,2,249.0,Financial Sponsor,PE-Backed
MA-2018-0009,Pacific Orthodontics,Bain Capital,Dental,Dental,2018,Q2,Strategic Acquisition,Southeast,Earnout,16.4,6.9,1.2,20.6,17.6,12.0,2.38,11.2,Closed,Geographic Expansion|High Growth|Margin Improvement|Cross-sell,5,166.0,Financial Sponsor,Private
MA-2020-0010,Empire PACE,BrightSpring Health,Home Health/Hospice,Home Health/Hospice,2020,Q4,Carve-out,Southeast,All Cash,357.0,166.0,13.9,14.6,9.2,16.9,2.15,8.5,Closed,Geographic Expansion|Carve-out Complexity|Cross-sell,1,76.0,Strategic,Public
